managerName,reportCalendarOrQuarter,cusip,value,shares,sourceFilingId,companyName
"Ackerman Capital Advisors, LLC",2023-03-31,002824100,465999000.0,4602,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,ABBOTT LABS
"Ackerman Capital Advisors, LLC",2023-03-31,02376R102,217002000.0,14712,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,AMERICAN AIRLS GROUP INC
"Ackerman Capital Advisors, LLC",2023-03-31,037833100,892320000.0,5411,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,APPLE INC
"Ackerman Capital Advisors, LLC",2023-03-31,05589T104,183914000.0,28338,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BNY MELLON MUN INCOME INC
"Ackerman Capital Advisors, LLC",2023-03-31,09247D105,1270669000.0,105275,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BLACKROCK INVT QUALITY MUN T
"Ackerman Capital Advisors, LLC",2023-03-31,09249N101,1132809000.0,105574,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BLACKROCK MUNI INCOME TR II
"Ackerman Capital Advisors, LLC",2023-03-31,09253T101,1099510000.0,102280,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BLACKROCK MUNIVEST FD II INC
"Ackerman Capital Advisors, LLC",2023-03-31,09254C107,429090000.0,42738,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BLACKROCK MUNIHOLDINGS QUALI
"Ackerman Capital Advisors, LLC",2023-03-31,09662E109,280451000.0,46664,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,BNY MELLON STRATEGIC MUN BD
"Ackerman Capital Advisors, LLC",2023-03-31,166764100,1269222000.0,7779,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,CHEVRON CORP NEW
"Ackerman Capital Advisors, LLC",2023-03-31,20825C104,540695000.0,5450,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,CONOCOPHILLIPS
"Ackerman Capital Advisors, LLC",2023-03-31,23342Q101,901594000.0,106320,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,DWS STRATEGIC MUN INCOME TR
"Ackerman Capital Advisors, LLC",2023-03-31,235851102,314798000.0,1249,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,DANAHER CORPORATION
"Ackerman Capital Advisors, LLC",2023-03-31,237194105,454929000.0,2932,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,DARDEN RESTAURANTS INC
"Ackerman Capital Advisors, LLC",2023-03-31,254687106,341770000.0,3413,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,DISNEY WALT CO
"Ackerman Capital Advisors, LLC",2023-03-31,26875P101,952346000.0,8308,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,EOG RES INC
"Ackerman Capital Advisors, LLC",2023-03-31,30231G102,1555527000.0,14185,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,EXXON MOBIL CORP
"Ackerman Capital Advisors, LLC",2023-03-31,31423P108,1559790000.0,144158,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,FEDERATED HERMES PREM MUNI I
"Ackerman Capital Advisors, LLC",2023-03-31,38141G104,359821000.0,1100,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,GOLDMAN SACHS GROUP INC
"Ackerman Capital Advisors, LLC",2023-03-31,46625H100,403309000.0,3095,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,JPMORGAN CHASE & CO
"Ackerman Capital Advisors, LLC",2023-03-31,478160104,294500000.0,1900,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,JOHNSON & JOHNSON
"Ackerman Capital Advisors, LLC",2023-03-31,580135101,685045000.0,2450,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,MCDONALDS CORP
"Ackerman Capital Advisors, LLC",2023-03-31,594918104,999824000.0,3468,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,MICROSOFT CORP
"Ackerman Capital Advisors, LLC",2023-03-31,64110L106,238036000.0,689,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NETFLIX INC
"Ackerman Capital Advisors, LLC",2023-03-31,64124P101,240988000.0,22008,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NEUBERGER BERMAN MUN FD INC
"Ackerman Capital Advisors, LLC",2023-03-31,670657105,220432000.0,19823,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NUVEEN AMT FREE QLTY MUN INC
"Ackerman Capital Advisors, LLC",2023-03-31,67066V101,173457000.0,15044,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NUVEEN QUALITY MUNCP INCOME
"Ackerman Capital Advisors, LLC",2023-03-31,67066Y105,153953000.0,13983,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NUVEEN CA QUALTY MUN INCOME
"Ackerman Capital Advisors, LLC",2023-03-31,67071L106,1326263000.0,112586,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,NUVEEN AMT FREE MUN CR INC F
"Ackerman Capital Advisors, LLC",2023-03-31,713448108,453927000.0,2490,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PEPSICO INC
"Ackerman Capital Advisors, LLC",2023-03-31,72200M108,873537000.0,140893,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO CALIF MUN INCOME FD II
"Ackerman Capital Advisors, LLC",2023-03-31,72200N106,3012761000.0,298885,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO CALIF MUN INCOME FD
"Ackerman Capital Advisors, LLC",2023-03-31,72200R107,113858000.0,11443,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO MUN INCOME FD
"Ackerman Capital Advisors, LLC",2023-03-31,72200W106,220430000.0,23475,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO MUN INCOME FD II
"Ackerman Capital Advisors, LLC",2023-03-31,72200Y102,88393000.0,11435,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO NEW YORK MUN FD II
"Ackerman Capital Advisors, LLC",2023-03-31,72201E105,459080000.0,71065,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIMCO NEW YORK MUN INCOME FD
"Ackerman Capital Advisors, LLC",2023-03-31,723762100,92744000.0,11269,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIONEER MUNICIPAL HIGH INCOM
"Ackerman Capital Advisors, LLC",2023-03-31,723787107,364364000.0,1784,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,PIONEER NAT RES CO
"Ackerman Capital Advisors, LLC",2023-03-31,747525103,336301000.0,2636,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,QUALCOMM INC
"Ackerman Capital Advisors, LLC",2023-03-31,882508104,334818000.0,1800,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,TEXAS INSTRS INC
"Ackerman Capital Advisors, LLC",2023-03-31,902653104,412653000.0,10050,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,UDR INC
"Ackerman Capital Advisors, LLC",2023-03-31,907818108,523477000.0,2601,raw_2023-05-11_archives_edgar_data_1699506_0001699506-23-000002.txt,UNION PAC CORP
BANK OZK,2023-03-31,001055102,1677520000.0,26000,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AFLAC INC
BANK OZK,2023-03-31,00206R102,1995493000.0,103662,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AT&T INC
BANK OZK,2023-03-31,002824100,1899839000.0,18762,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ABBOTT LABS
BANK OZK,2023-03-31,00287Y109,5937328000.0,37255,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ABBVIE INC
BANK OZK,2023-03-31,020002101,1301574000.0,11746,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ALLSTATE CORP
BANK OZK,2023-03-31,02209S103,561988000.0,12595,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ALTRIA GROUP INC
BANK OZK,2023-03-31,023135106,1445233000.0,13992,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AMAZON COM INC
BANK OZK,2023-03-31,025537101,633653000.0,6964,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AMERICAN ELEC PWR CO INC
BANK OZK,2023-03-31,031162100,3403598000.0,14079,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AMGEN INC
BANK OZK,2023-03-31,037833100,13408843000.0,81315,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,APPLE INC
BANK OZK,2023-03-31,038222105,4711390000.0,38357,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,APPLIED MATLS INC
BANK OZK,2023-03-31,04010L103,749275000.0,41000,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ARES CAPITAL CORP
BANK OZK,2023-03-31,053015103,1689539000.0,7589,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,AUTOMATIC DATA PROCESSING IN
BANK OZK,2023-03-31,060505104,3701983000.0,129440,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BANK AMERICA CORP
BANK OZK,2023-03-31,06417N103,258381000.0,7555,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BANK OZK LITTLE ROCK ARK
BANK OZK,2023-03-31,09247X101,1974572000.0,2951,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BLACKROCK INC
BANK OZK,2023-03-31,110122108,2170372000.0,31314,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BRISTOL-MYERS SQUIBB CO
BANK OZK,2023-03-31,11133T103,586280000.0,4000,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BROADRIDGE FINL SOLUTIONS IN
BANK OZK,2023-03-31,11135F101,431755000.0,673,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,BROADCOM INC
BANK OZK,2023-03-31,126650100,1481294000.0,19934,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CVS HEALTH CORP
BANK OZK,2023-03-31,14040H105,1123532000.0,11684,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CAPITAL ONE FINL CORP
BANK OZK,2023-03-31,166764100,3518055000.0,21562,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CHEVRON CORP NEW
BANK OZK,2023-03-31,17275R102,3804678000.0,72782,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CISCO SYS INC
BANK OZK,2023-03-31,191216100,1219261000.0,19656,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,COCA COLA CO
BANK OZK,2023-03-31,194162103,354407000.0,4716,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,COLGATE PALMOLIVE CO
BANK OZK,2023-03-31,20825C104,732268000.0,7381,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CONOCOPHILLIPS
BANK OZK,2023-03-31,209115104,239653000.0,2505,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CONSOLIDATED EDISON INC
BANK OZK,2023-03-31,22160K105,1059823000.0,2133,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,COSTCO WHSL CORP NEW
BANK OZK,2023-03-31,22822V101,422934000.0,3160,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,CROWN CASTLE INC
